Game_No,Round_Number,Date,Location,Home_Team,Away_Team,Group,Home,Away
1,1,2021-06-11 21:00,Rome,Turkey,Italy,A,1,2
2,1,2021-06-12 15:00,Baku,Wales,Switzerland,A,1,2
13,2,2021-06-16 21:00,Rome,Italy,Switzerland,A,1,0
14,2,2021-06-16 18:00,Baku,Turkey,Wales,A,2,0
25,3,2021-06-20 18:00,Rome,Italy,Wales,A,1,0
26,3,2021-06-20 18:00,Baku,Switzerland,Turkey,A,1,1
3,1,2021-06-12 21:00,Saint Petersburg,Belgium,Russia,B,3,1
4,1,2021-06-12 18:00,Copenhagen,Denmark,Finland,B,2,0
15,2,2021-06-16 15:00,Saint Petersburg,Finland,Russia,B,0,1
16,2,2021-06-17 18:00,Copenhagen,Denmark,Belgium,B,2,2
27,3,2021-06-21 21:00,Saint Petersburg,Finland,Belgium,B,0,3
28,3,2021-06-21 21:00,Copenhagen,Russia,Denmark,B,1,3
5,1,2021-06-13 21:00,Amsterdam,Netherlands,Ukraine,C,2,1
6,1,2021-06-13 18:00,Bucharest,Austria,Macedonia,C,2,0
17,2,2021-06-17 21:00,Amsterdam,Netherlands,Austria,C,1,0
18,2,2021-06-17 15:00,Bucharest,Ukraine,Macedonia,C,2,0
29,3,2021-06-21 18:00,Amsterdam,Macedonia,Netherlands,C,0,2
30,3,2021-06-21 18:00,Bucharest,Ukraine,Austria,C,1,0
7,1,2021-06-13 15:00,London,England,Croatia,D,1,1
8,1,2021-06-14 15:00,Glasgow,Scotland,Czech Republic,D,0,1
19,2,2021-06-18 21:00,London,England,Scotland,D,3,0
20,2,2021-06-18 18:00,Glasgow,Croatia,Czech Republic,D,2,1
31,3,2021-06-22 21:00,London,Czech Republic,England,D,1,2
32,3,2021-06-22 21:00,Glasgow,Croatia,Scotland,D,2,0
9,1,2021-06-14 21:00,Bilbao,Spain,Sweden,E,2,1
10,1,2021-06-14 18:00,Dublin,Poland,Slovakia,E,2,0
21,2,2021-06-19 21:00,Bilbao,Spain,Poland,E,2,1
22,2,2021-06-18 15:00,Dublin,Sweden,Slovakia,E,2,1
33,3,2021-06-23 18:00,Bilbao,Slovakia,Spain,E,0,2
34,3,2021-06-23 18:00,Dublin,Sweden,Poland,E,1,1
11,1,2021-06-15 21:00,Munich,France,Germany,F,2,1
12,1,2021-06-15 18:00,Budapest,Hungary,Portugal,F,0,3
23,2,2021-06-19 18:00,Munich,Portugal,Germany,F,3,2
24,2,2021-06-19 15:00,Budapest,Hungary,France,F,1,4
35,3,2021-06-23 21:00,Munich,Germany,Hungary,F,2,0
36,3,2021-06-23 21:00,Budapest,Portugal,France,F,2,3
38,4,2021-06-26 18:00,Amsterdam,Turkey,Denmark,38,0,1
37,4,2021-06-26 21:00,London,Italy,Ukraine,37,1,0
39,4,2021-06-27 21:00,Bilbao,Belgium,Sweden,39,1,0
40,4,2021-06-27 18:00,Budapest,Netherlands,Germany,40,1,0
42,4,2021-06-28 18:00,Copenhagen,Croatia,Poland,42,1,0
41,4,2021-06-28 21:00,Bucharest,France,Austria,41,1,0
43,4,2021-06-29 21:00,Glasgow,Spain,Switzerland,43,1,0
44,4,2021-06-29 18:00,Dublin,England,Portugal,44,1,0
45,5,2021-07-02 18:00,Saint Petersburg,France,Croatia,45,1,0
46,5,2021-07-02 21:00,Munich,Belgium,Italy,46,1,0
48,5,2021-07-03 21:00,Rome,Spain,England,48,0,1
47,5,2021-07-03 18:00,Baku,Netherlands,Denmark,47,1,0
49,6,2021-07-06 21:00,London,Belgium,France,49,0,1
50,6,2021-07-07 21:00,London,England,Netherlands,50,1,0
51,Final match,2021-07-11 21:00,London,France,England,51,1,0
"","","",TopScorer,Romelu Lukaku,"","","",""
"","","",Yellow Cards,200,"","","",""
"","","",Competitor,Jakob,"","","",""
"","","",Email,jakobsamuelsson@gmail.com,"","","",""
