Game_No,Round_Number,Date,Location,Home_Team,Away_Team,Group,Home,Away
1,1,2021-06-11 21:00,Rome,Turkey,Italy,A,3,1
2,1,2021-06-12 15:00,Baku,Wales,Switzerland,A,0,3
13,2,2021-06-16 21:00,Rome,Italy,Switzerland,A,0,0
14,2,2021-06-16 18:00,Baku,Turkey,Wales,A,0,3
25,3,2021-06-20 18:00,Rome,Italy,Wales,A,1,1
26,3,2021-06-20 18:00,Baku,Switzerland,Turkey,A,1,3
3,1,2021-06-12 21:00,Saint Petersburg,Belgium,Russia,B,3,3
4,1,2021-06-12 18:00,Copenhagen,Denmark,Finland,B,0,0
15,2,2021-06-16 15:00,Saint Petersburg,Finland,Russia,B,0,1
16,2,2021-06-17 18:00,Copenhagen,Denmark,Belgium,B,1,0
27,3,2021-06-21 21:00,Saint Petersburg,Finland,Belgium,B,1,2
28,3,2021-06-21 21:00,Copenhagen,Russia,Denmark,B,2,0
5,1,2021-06-13 21:00,Amsterdam,Netherlands,Ukraine,C,3,0
6,1,2021-06-13 18:00,Bucharest,Austria,Macedonia,C,2,2
17,2,2021-06-17 21:00,Amsterdam,Netherlands,Austria,C,0,3
18,2,2021-06-17 15:00,Bucharest,Ukraine,Macedonia,C,3,2
29,3,2021-06-21 18:00,Amsterdam,Macedonia,Netherlands,C,3,2
30,3,2021-06-21 18:00,Bucharest,Ukraine,Austria,C,1,2
7,1,2021-06-13 15:00,London,England,Croatia,D,2,0
8,1,2021-06-14 15:00,Glasgow,Scotland,Czech Republic,D,3,0
19,2,2021-06-18 21:00,London,England,Scotland,D,3,3
20,2,2021-06-18 18:00,Glasgow,Croatia,Czech Republic,D,1,3
31,3,2021-06-22 21:00,London,Czech Republic,England,D,2,0
32,3,2021-06-22 21:00,Glasgow,Croatia,Scotland,D,1,2
9,1,2021-06-14 21:00,Bilbao,Spain,Sweden,E,1,1
10,1,2021-06-14 18:00,Dublin,Poland,Slovakia,E,0,3
21,2,2021-06-19 21:00,Bilbao,Spain,Poland,E,2,0
22,2,2021-06-18 15:00,Dublin,Sweden,Slovakia,E,1,2
33,3,2021-06-23 18:00,Bilbao,Slovakia,Spain,E,3,3
34,3,2021-06-23 18:00,Dublin,Sweden,Poland,E,1,3
11,1,2021-06-15 21:00,Munich,France,Germany,F,3,3
12,1,2021-06-15 18:00,Budapest,Hungary,Portugal,F,3,0
23,2,2021-06-19 18:00,Munich,Portugal,Germany,F,2,1
24,2,2021-06-19 15:00,Budapest,Hungary,France,F,3,3
35,3,2021-06-23 21:00,Munich,Germany,Hungary,F,1,3
36,3,2021-06-23 21:00,Budapest,Portugal,France,F,2,3
38,4,2021-06-26 18:00,Amsterdam,Switzerland,Belgium,38,0,1
37,4,2021-06-26 21:00,London,Turkey,Macedonia,37,0,1
39,4,2021-06-27 21:00,Bilbao,Russia,England,39,1,0
40,4,2021-06-27 18:00,Budapest,Austria,Portugal,40,0,1
42,4,2021-06-28 18:00,Copenhagen,Czech Republic,Spain,42,0,1
41,4,2021-06-28 21:00,Bucharest,Hungary,Wales,41,0,1
43,4,2021-06-29 21:00,Glasgow,Slovakia,Denmark,43,0,1
44,4,2021-06-29 18:00,Dublin,Scotland,France,44,1,0
45,5,2021-07-02 18:00,Saint Petersburg,Wales,Spain,45,0,1
46,5,2021-07-02 21:00,Munich,Russia,Macedonia,46,1,0
48,5,2021-07-03 21:00,Rome,Denmark,Scotland,48,1,0
47,5,2021-07-03 18:00,Baku,Portugal,Belgium,47,1,0
49,6,2021-07-06 21:00,London,Russia,Spain,49,0,1
50,6,2021-07-07 21:00,London,Denmark,Portugal,50,0,1
51,Final match,2021-07-11 21:00,London,Spain,Portugal,51,0,1
"","","",TopScorer,Nacka,"","","",""
"","","",Yellow Cards,174,"","","",""
"","","",Competitor,Bläckfisken Paul,"","","",""
"","","",Email,daniel.knos@gmail.com,"","","",""
