Game_No,Round_Number,Date,Location,Home_Team,Away_Team,Group,Home,Away
1,1,2020-06-12 21:00,Rome,Turkey,Italy,A,2,3
2,1,2020-06-13 15:00,Baku,Wales,Switzerland,A,3,2
13,2,2020-06-17 21:00,Rome,Italy,Switzerland,A,0,2
14,2,2020-06-17 18:00,Baku,Turkey,Wales,A,2,1
25,3,2020-06-21 18:00,Rome,Italy,Wales,A,3,2
26,3,2020-06-21 18:00,Baku,Switzerland,Turkey,A,0,0
3,1,2020-06-13 21:00,Saint Petersburg,Belgium,Russia,B,1,2
4,1,2020-06-13 18:00,Copenhagen,Denmark,Finland,B,0,0
15,2,2020-06-17 15:00,Saint Petersburg,Finland,Russia,B,3,1
16,2,2020-06-18 18:00,Copenhagen,Denmark,Belgium,B,3,3
27,3,2020-06-22 21:00,Saint Petersburg,Finland,Belgium,B,3,1
28,3,2020-06-22 21:00,Copenhagen,Russia,Denmark,B,3,0
5,1,2020-06-14 21:00,Amsterdam,Netherlands,Ukraine,C,3,1
6,1,2020-06-14 18:00,Bucharest,Austria,PO D,C,0,1
17,2,2020-06-18 21:00,Amsterdam,Netherlands,Austria,C,0,3
18,2,2020-06-18 15:00,Bucharest,Ukraine,PO D,C,0,2
29,3,2020-06-22 18:00,Amsterdam,PO D,Netherlands,C,0,1
30,3,2020-06-22 18:00,Bucharest,Ukraine,Austria,C,3,3
7,1,2020-06-14 15:00,London,England,Croatia,D,1,3
8,1,2020-06-15 15:00,Glasgow,PO C,Czech Republic,D,1,2
19,2,2020-06-19 21:00,London,England,PO C,D,0,2
20,2,2020-06-19 18:00,Glasgow,Croatia,Czech Republic,D,2,0
31,3,2020-06-23 21:00,London,Czech Republic,England,D,2,1
32,3,2020-06-23 21:00,Glasgow,Croatia,PO C,D,2,3
9,1,2020-06-15 21:00,Bilbao,Spain,Sweden,E,0,3
10,1,2020-06-15 18:00,Dublin,Poland,PO B,E,3,3
21,2,2020-06-20 21:00,Bilbao,Spain,Poland,E,1,3
22,2,2020-06-19 15:00,Dublin,Sweden,PO B,E,1,3
33,3,2020-06-24 18:00,Bilbao,PO B,Spain,E,3,2
34,3,2020-06-24 18:00,Dublin,Sweden,Poland,E,2,1
11,1,2020-06-16 21:00,Munich,France,Germany,F,0,3
12,1,2020-06-16 18:00,Budapest,PO A,Portugal,F,2,0
23,2,2020-06-20 18:00,Munich,Portugal,Germany,F,1,3
24,2,2020-06-20 15:00,Budapest,PO A,France,F,2,1
35,3,2020-06-24 21:00,Munich,Germany,PO A,F,0,0
36,3,2020-06-24 21:00,Budapest,Portugal,France,F,2,3
38,4,2020-06-27 18:00,Amsterdam,Switzerland,Russia,38,3,0
37,4,2020-06-27 21:00,London,Italy,Netherlands,37,3,1
39,4,2020-06-28 21:00,Bilbao,Finland,Poland,39,1,1
40,4,2020-06-28 18:00,Budapest,PO D,Czech Republic,40,2,2
42,4,2020-06-29 18:00,Copenhagen,PO C,Sweden,42,1,1
41,4,2020-06-29 21:00,Bucharest,Germany,Austria,41,1,0
43,4,2020-06-30 21:00,Glasgow,PO B,Turkey,43,3,1
44,4,2020-06-30 18:00,Dublin,Croatia,PO A,44,3,2
45,5,2020-07-03 18:00,Saint Petersburg,Germany,PO C,45,2,0
46,5,2020-07-03 21:00,Munich,Finland,Italy,46,0,3
48,5,2020-07-04 21:00,Rome,PO B,Croatia,48,3,3
47,5,2020-07-04 18:00,Baku,PO D,Switzerland,47,0,2
49,6,2020-07-07 21:00,London,Italy,Germany,49,2,3
50,6,2020-07-08 21:00,London,PO B,Switzerland,50,0,1
51,Final match,2020-07-12 21:00,London,Germany,Switzerland,51,1,2
"","","",TopScorer,Write the last name of your guessed top scorer here,"","","",""
"","","",Yellow Cards,2,"","","",""
"","","",Competitor,Write your name here,"","","",""
"","","",Email,dssd@dsds,"","","",""
