"","Game_No","Round_Number","Date","Location","Home_Team","Away_Team","Group","Home","Away"
"1","1","1","2020-06-12 21:00","Rome","Turkey","Italy","A","2","1"
"2","2","1","2020-06-13 15:00","Baku","Wales","Switzerland","A","1","2"
"3","13","2","2020-06-17 21:00","Rome","Italy","Switzerland","A","3","1"
"4","14","2","2020-06-17 18:00","Baku","Turkey","Wales","A","0","3"
"5","25","3","2020-06-21 18:00","Rome","Italy","Wales","A","2","0"
"6","26","3","2020-06-21 18:00","Baku","Switzerland","Turkey","A","0","0"
"7","3","1","2020-06-13 21:00","Saint Petersburg","Belgium","Russia","B","1","0"
"8","4","1","2020-06-13 18:00","Copenhagen","Denmark","Finland","B","2","2"
"9","15","2","2020-06-17 15:00","Saint Petersburg","Finland","Russia","B","3","0"
"10","16","2","2020-06-18 18:00","Copenhagen","Denmark","Belgium","B","2","3"
"11","27","3","2020-06-22 21:00","Saint Petersburg","Finland","Belgium","B","2","2"
"12","28","3","2020-06-22 21:00","Copenhagen","Russia","Denmark","B","3","1"
"13","5","1","2020-06-14 21:00","Amsterdam","Netherlands","Ukraine","C","0","3"
"14","6","1","2020-06-14 18:00","Bucharest","Austria","PO D","C","0","3"
"15","17","2","2020-06-18 21:00","Amsterdam","Netherlands","Austria","C","3","0"
"16","18","2","2020-06-18 15:00","Bucharest","Ukraine","PO D","C","1","3"
"17","29","3","2020-06-22 18:00","Amsterdam","PO D","Netherlands","C","3","2"
"18","30","3","2020-06-22 18:00","Bucharest","Ukraine","Austria","C","2","2"
"19","7","1","2020-06-14 15:00","London","England","Croatia","D","2","2"
"20","8","1","2020-06-15 15:00","Glasgow","PO C","Czech Republic","D","3","0"
"21","19","2","2020-06-19 21:00","London","England","PO C","D","1","3"
"22","20","2","2020-06-19 18:00","Glasgow","Croatia","Czech Republic","D","1","3"
"23","31","3","2020-06-23 21:00","London","Czech Republic","England","D","2","0"
"24","32","3","2020-06-23 21:00","Glasgow","Croatia","PO C","D","3","3"
"25","9","1","2020-06-15 21:00","Bilbao","Spain","Sweden","E","0","2"
"26","10","1","2020-06-15 18:00","Dublin","Poland","PO B","E","0","2"
"27","21","2","2020-06-20 21:00","Bilbao","Spain","Poland","E","2","1"
"28","22","2","2020-06-19 15:00","Dublin","Sweden","PO B","E","0","2"
"29","33","3","2020-06-24 18:00","Bilbao","PO B","Spain","E","2","3"
"30","34","3","2020-06-24 18:00","Dublin","Sweden","Poland","E","2","1"
"31","11","1","2020-06-16 21:00","Munich","France","Germany","F","1","1"
"32","12","1","2020-06-16 18:00","Budapest","PO A","Portugal","F","3","0"
"33","23","2","2020-06-20 18:00","Munich","Portugal","Germany","F","3","1"
"34","24","2","2020-06-20 15:00","Budapest","PO A","France","F","3","2"
"35","35","3","2020-06-24 21:00","Munich","Germany","PO A","F","2","2"
"36","36","3","2020-06-24 21:00","Budapest","Portugal","France","F","2","2"
"37","","","","TopScorer","nng","","","",""
"38","","","","Yellow Cards","87","","","",""
"39","","","","Competitor","ccc","","","",""
