"",Game_No,Round_Number,Date,Location,Home_Team,Away_Team,Group,Home,Away
"1",1,1,2020-06-12 21:00,Rome,Turkey,Italy,A,1,1
"2",2,1,2020-06-13 15:00,Baku,Wales,Switzerland,A,1,0
"3",13,2,2020-06-17 21:00,Rome,Italy,Switzerland,A,2,2
"4",14,2,2020-06-17 18:00,Baku,Turkey,Wales,A,3,2
"5",25,3,2020-06-21 18:00,Rome,Italy,Wales,A,0,2
"6",26,3,2020-06-21 18:00,Baku,Switzerland,Turkey,A,3,3
"7",3,1,2020-06-13 21:00,Saint Petersburg,Belgium,Russia,B,3,3
"8",4,1,2020-06-13 18:00,Copenhagen,Denmark,Finland,B,2,0
"9",15,2,2020-06-17 15:00,Saint Petersburg,Finland,Russia,B,1,0
"10",16,2,2020-06-18 18:00,Copenhagen,Denmark,Belgium,B,0,0
"11",27,3,2020-06-22 21:00,Saint Petersburg,Finland,Belgium,B,3,2
"12",28,3,2020-06-22 21:00,Copenhagen,Russia,Denmark,B,3,2
"13",5,1,2020-06-14 21:00,Amsterdam,Netherlands,Ukraine,C,3,0
"14",6,1,2020-06-14 18:00,Bucharest,Austria,PO D,C,2,1
"15",17,2,2020-06-18 21:00,Amsterdam,Netherlands,Austria,C,3,3
"16",18,2,2020-06-18 15:00,Bucharest,Ukraine,PO D,C,0,0
"17",29,3,2020-06-22 18:00,Amsterdam,PO D,Netherlands,C,1,1
"18",30,3,2020-06-22 18:00,Bucharest,Ukraine,Austria,C,1,2
"19",7,1,2020-06-14 15:00,London,England,Croatia,D,0,1
"20",8,1,2020-06-15 15:00,Glasgow,PO C,Czech Republic,D,3,3
"21",19,2,2020-06-19 21:00,London,England,PO C,D,1,0
"22",20,2,2020-06-19 18:00,Glasgow,Croatia,Czech Republic,D,2,0
"23",31,3,2020-06-23 21:00,London,Czech Republic,England,D,1,3
"24",32,3,2020-06-23 21:00,Glasgow,Croatia,PO C,D,1,3
"25",9,1,2020-06-15 21:00,Bilbao,Spain,Sweden,E,1,2
"26",10,1,2020-06-15 18:00,Dublin,Poland,PO B,E,0,0
"27",21,2,2020-06-20 21:00,Bilbao,Spain,Poland,E,0,1
"28",22,2,2020-06-19 15:00,Dublin,Sweden,PO B,E,3,1
"29",33,3,2020-06-24 18:00,Bilbao,PO B,Spain,E,3,3
"30",34,3,2020-06-24 18:00,Dublin,Sweden,Poland,E,3,2
"31",11,1,2020-06-16 21:00,Munich,France,Germany,F,1,3
"32",12,1,2020-06-16 18:00,Budapest,PO A,Portugal,F,2,1
"33",23,2,2020-06-20 18:00,Munich,Portugal,Germany,F,2,0
"34",24,2,2020-06-20 15:00,Budapest,PO A,France,F,2,0
"35",35,3,2020-06-24 21:00,Munich,Germany,PO A,F,2,2
"36",36,3,2020-06-24 21:00,Budapest,Portugal,France,F,1,0
"37",38,4,2020-06-27 18:00,Amsterdam,Turkey,Denmark,38,1,3
"38",37,4,2020-06-27 21:00,London,Wales,Netherlands,37,1,1
"39",39,4,2020-06-28 21:00,Bilbao,Finland,Germany,39,0,2
"40",40,4,2020-06-28 18:00,Budapest,Austria,PO B,40,3,3
"41",42,4,2020-06-29 18:00,Copenhagen,Croatia,Poland,42,0,0
"42",41,4,2020-06-29 21:00,Bucharest,PO A,PO C,41,0,1
"43",43,4,2020-06-30 21:00,Glasgow,Sweden,Russia,43,1,2
"44",44,4,2020-06-30 18:00,Dublin,England,Portugal,44,2,1
"45",45,5,2020-07-03 18:00,Saint Petersburg,PO C,Croatia,45,3,2
"46",46,5,2020-07-03 21:00,Munich,Germany,Wales,46,2,3
"47",48,5,2020-07-04 21:00,Rome,Russia,England,48,2,1
"48",47,5,2020-07-04 18:00,Baku,Austria,Denmark,47,1,1
"49",49,6,2020-07-07 21:00,London,Wales,PO C,49,3,1
"50",50,6,2020-07-08 21:00,London,Russia,Austria,50,3,1
"51",51,Final match,2020-07-12 21:00,London,Wales,Russia,51,3,3
"52","","","",TopScorer,hhk,"","","",""
"53","","","",Yellow Cards,0,"","","",""
"54","","","",Competitor,kkjjgjg,"","","",""
