Game_No,Round_Number,Date,Location,Home_Team,Away_Team,Group,Home,Away
1,1,2021-06-11 21:00,Rome,Turkey,Italy,A,0,3
2,1,2021-06-12 15:00,Baku,Wales,Switzerland,A,1,1
13,2,2021-06-16 21:00,Rome,Italy,Switzerland,A,1,3
14,2,2021-06-16 18:00,Baku,Turkey,Wales,A,0,0
25,3,2021-06-20 18:00,Rome,Italy,Wales,A,0,0
26,3,2021-06-20 18:00,Baku,Switzerland,Turkey,A,0,3
3,1,2021-06-12 21:00,Saint Petersburg,Belgium,Russia,B,3,0
4,1,2021-06-12 18:00,Copenhagen,Denmark,Finland,B,0,1
15,2,2021-06-16 15:00,Saint Petersburg,Finland,Russia,B,0,0
16,2,2021-06-17 18:00,Copenhagen,Denmark,Belgium,B,2,0
27,3,2021-06-21 21:00,Saint Petersburg,Finland,Belgium,B,1,2
28,3,2021-06-21 21:00,Copenhagen,Russia,Denmark,B,0,3
5,1,2021-06-13 21:00,Amsterdam,Netherlands,Ukraine,C,3,2
6,1,2021-06-13 18:00,Bucharest,Austria,Macedonia,C,3,1
17,2,2021-06-17 21:00,Amsterdam,Netherlands,Austria,C,3,0
18,2,2021-06-17 15:00,Bucharest,Ukraine,Macedonia,C,2,0
29,3,2021-06-21 18:00,Amsterdam,Macedonia,Netherlands,C,2,1
30,3,2021-06-21 18:00,Bucharest,Ukraine,Austria,C,0,3
7,1,2021-06-13 15:00,London,England,Croatia,D,1,0
8,1,2021-06-14 15:00,Glasgow,Scotland,Czech Republic,D,0,2
19,2,2021-06-18 21:00,London,England,Scotland,D,3,3
20,2,2021-06-18 18:00,Glasgow,Croatia,Czech Republic,D,2,0
31,3,2021-06-22 21:00,London,Czech Republic,England,D,0,0
32,3,2021-06-22 21:00,Glasgow,Croatia,Scotland,D,2,0
9,1,2021-06-14 21:00,Bilbao,Spain,Sweden,E,3,2
10,1,2021-06-14 18:00,Dublin,Poland,Slovakia,E,2,2
21,2,2021-06-19 21:00,Bilbao,Spain,Poland,E,2,0
22,2,2021-06-18 15:00,Dublin,Sweden,Slovakia,E,3,0
33,3,2021-06-23 18:00,Bilbao,Slovakia,Spain,E,1,3
34,3,2021-06-23 18:00,Dublin,Sweden,Poland,E,3,3
11,1,2021-06-15 21:00,Munich,France,Germany,F,1,1
12,1,2021-06-15 18:00,Budapest,Hungary,Portugal,F,3,1
23,2,2021-06-19 18:00,Munich,Portugal,Germany,F,1,3
24,2,2021-06-19 15:00,Budapest,Hungary,France,F,1,0
35,3,2021-06-23 21:00,Munich,Germany,Hungary,F,0,0
36,3,2021-06-23 21:00,Budapest,Portugal,France,F,3,3
38,4,2021-06-26 18:00,Amsterdam,Wales,Belgium,38,3,1
37,4,2021-06-26 21:00,London,Turkey,Netherlands,37,0,1
39,4,2021-06-27 21:00,Bilbao,Denmark,Poland,39,0,1
40,4,2021-06-27 18:00,Budapest,Macedonia,Scotland,40,3,0
42,4,2021-06-28 18:00,Copenhagen,England,Sweden,42,2,3
41,4,2021-06-28 21:00,Bucharest,Hungary,Ukraine,41,3,2
43,4,2021-06-29 21:00,Glasgow,Spain,Switzerland,43,1,0
44,4,2021-06-29 18:00,Dublin,Croatia,Germany,44,1,2
45,5,2021-07-02 18:00,Saint Petersburg,Hungary,Sweden,45,1,1
46,5,2021-07-02 21:00,Munich,Poland,Netherlands,46,0,0
48,5,2021-07-03 21:00,Rome,Spain,Germany,48,0,3
47,5,2021-07-03 18:00,Baku,Macedonia,Wales,47,1,0
49,6,2021-07-06 21:00,London,Poland,Hungary,49,1,0
50,6,2021-07-07 21:00,London,Germany,Macedonia,50,0,3
51,Final match,2021-07-11 21:00,London,Poland,Macedonia,51,3,0
"","","",TopScorer,Kennedy,"","","",""
"","","",Yellow Cards,100,"","","",""
"","","",Competitor,results,"","","",""
"","","",Email,daniel.knos@gmail.com,"","","",""
